"","site_code","year","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19"
"1","sub21_21",2007,11.2202623128891,9.39280858039856,3.80070229769548,600.4936933426,24.4133499145508,-0.3,24.7133499145508,17.8500587463379,5.56438268025716,18.6188916524251,4.19777488708496,72.9003532886505,10.8114120483398,0.1,5.25484211579356,29.7007064819336,11.3870022296906,26.8996475219727,15.8980613708496
"2","sub11_330",2005,9.42338869174321,9.87107829252879,3.41428890726543,686.767958172501,24.8890426635742,-4.02203826904297,28.9110809326172,13.1816893895467,10.4427352905273,17.3315161387126,0.74938497543335,73.0068241119385,9.70015563964844,3.68891983032227,3.26958027815827,21.0167316436768,13.3922653198242,18.5804222106934,20.1914989471436
"3","sub11_312",2005,9.33691270252069,9.91347670753797,3.42235790221333,685.540274340762,24.846598815918,-4.12020416259766,28.9668029785156,9.10479425191879,10.3251988728841,17.2439261118571,0.67373157342275,73.2302730560303,9.64387435913086,3.52020416259766,3.38571633780087,21.0140144348145,13.2476192474365,18.415051651001,20.5535877227783
"4","sub10_53",2005,9.16042775909106,9.86123203039169,3.42606792564646,682.95843637645,24.5640151977539,-4.21892852783203,28.7829437255859,8.86819854577382,10.1933934847514,17.0376614888509,0.542457516988119,75.3649105072022,9.82510299682617,3.60402297973633,3.42232245500081,21.6071189880371,13.4879112243652,18.9445892333984,21.3252910614014
"5","sub10_25",2005,9.29037948648135,9.92997634808222,3.43622825499377,683.220465903805,24.7957901000977,-4.10210494995117,28.8978950500488,9.02551282246908,10.2956708272298,17.1758636474609,0.664470648765564,73.6061019897461,9.68747253417969,3.4871997833252,3.46997765803132,21.2363990783691,13.1214935302734,18.507873916626,20.7403354644775
"6","sub03_878",2005,8.95572650829951,9.94591230551402,3.45080969949724,678.396563080203,24.4110931396484,-4.41087379455566,28.8219669342041,8.59829813639323,10.0038938045502,16.8082976023356,0.412416489919027,77.2063415527344,9.87909469604492,3.34493064880371,3.57875520222908,22.4073169708252,13.4997814178467,19.2521461486816,22.0470970153809
"7","sub03_771",2005,9.03844157854716,9.98645315170288,3.45567425029308,678.572118861035,24.596907043457,-4.30180397033691,28.8987110137939,8.71227804819743,10.0468258221944,16.8960679372152,0.498594506581624,75.7240581512451,9.50625610351562,3.39906234741211,3.44465128588532,21.8098636627197,13.4014747619629,19.0039581298828,21.5087615966797
"8","sub03_702",2005,9.03844157854716,9.98645315170288,3.45567425029308,678.572118861035,24.596907043457,-4.30180397033691,28.8987110137939,8.71227804819743,10.0468258221944,16.8960679372152,0.498594506581624,75.7240581512451,9.50625610351562,3.39906234741211,3.44465128588532,21.8098636627197,13.4014747619629,19.0039581298828,21.5087615966797
"9","sub03_647",2005,8.97953764200211,9.99310363928477,3.46059205439888,677.492842981489,24.5203506469727,-4.35651054382324,28.8768611907959,8.64008525212606,9.99545588493347,16.8296203613281,0.452989069620768,76.0118389129639,9.53656311035156,3.41852493286133,3.44048865081969,21.8446277618408,13.4574760437012,19.0794212341309,21.630313873291
"10","sub03_566",2005,8.79085101683934,9.94192998409271,3.45261196171216,676.55998672742,24.2044692993164,-4.59091835021973,28.7953876495361,0.272697305679321,9.85928018887838,16.6214015960693,0.272697305679321,76.4526226043701,9.55470886230469,3.53293190002441,3.39241733605924,21.8962432861328,13.5847389221191,19.2607719421387,21.8962432861328
"11","sub03_671",2005,8.86215141614278,9.91746848424276,3.44376979830569,676.898710148939,24.2811370849609,-4.51715393066406,28.798291015625,0.332647768656413,9.93517859776815,16.682034556071,0.332647768656413,74.5572277069092,9.25068283081055,3.60025978088379,3.22794104674333,21.1445659637451,13.4193828582764,18.9374671936035,21.1445659637451
"12","sub03_811",2005,8.6168557882309,9.73295605977376,3.3817331588758,678.709258037949,23.9813842773438,-4.79958572387695,28.7809700012207,0.0606240113576253,9.70455884933472,16.4350364685059,0.0606240113576253,76.169958114624,9.4528434753418,3.60053405761719,3.13205889572449,21.7088375091553,13.8337333679199,19.3217002868652,21.7088375091553
"13","sub03_811",2011,9.37930512875318,10.4916376342376,4.08251897750075,622.737514541901,23.4828659057617,-2.21606578826904,25.6989316940308,16.5152870178223,9.78949732780456,16.5152870178223,1.78841950098674,71.0513416290283,14.9242492675781,0.2,7.95458960382854,30.8914894104004,4.43307991027832,30.8914894104004,26.5101722717285
